wl,n,k
1.347048597977901663e+00,3.081293288256033325e+00,6.825761637474895061e+00
1.352407822238140822e+00,3.100720510498874649e+00,6.845402985984694766e+00
1.357767046498379759e+00,3.120147732741714641e+00,6.865044334494492695e+00
1.363126270758618919e+00,3.133748412582697984e+00,6.884685683004291512e+00
1.368485495018857856e+00,3.142874509644073111e+00,6.904327031514090329e+00
1.373844719279096793e+00,3.152000606705447794e+00,6.923968380023889146e+00
1.379203943539335731e+00,3.161126703766822921e+00,6.943609728533687075e+00
1.384563167799574890e+00,3.170252800828197604e+00,6.963251077043485893e+00
1.389922392059813827e+00,3.179378897889572730e+00,6.982892425553284710e+00
1.395281616320052764e+00,3.188504994950947857e+00,7.002533774063083527e+00
1.400640840580291702e+00,3.197631092012322540e+00,7.022175122572881456e+00
1.406000064840530861e+00,3.206757189073697667e+00,7.041816471082680273e+00
1.411359289100769798e+00,3.215883286135072794e+00,7.061457819592479090e+00
1.416718513361008736e+00,3.225009383196447477e+00,7.081099168102277019e+00
1.422077737621247895e+00,3.229609638743180078e+00,7.100740516612076725e+00
1.427436961881487054e+00,3.231560449800749968e+00,7.120381865121875542e+00
1.432796186141725991e+00,3.233511260858320302e+00,7.139867076954407921e+00
1.438155410401964929e+00,3.235462071915890192e+00,7.154281686202271118e+00
1.443514634662203866e+00,3.237412882973460082e+00,7.168696295450134315e+00
1.448873858922442803e+00,3.239363694031029972e+00,7.183110904697997512e+00
1.454233083182681963e+00,3.241314505088600306e+00,7.197525513945860709e+00
1.459592307442921122e+00,3.250222053787467313e+00,7.211940123193724794e+00
1.464951531703160059e+00,3.267530333238043205e+00,7.226354732441587991e+00
1.470310755963398996e+00,3.284838612688619097e+00,7.240769341689452077e+00
1.475669980223638156e+00,3.302146892139194545e+00,7.255183950937315274e+00
1.481029204483877093e+00,3.319455171589770437e+00,7.269598560185178471e+00
1.486388428744116030e+00,3.336763451040346329e+00,7.283644353238359237e+00
1.491747653004354968e+00,3.354071730490922221e+00,7.295034373451919407e+00
1.497106877264594127e+00,3.371380009941497669e+00,7.306424393665479577e+00
1.502466101524833064e+00,3.388688289392073560e+00,7.317814413879039748e+00
1.507825325785072224e+00,3.405996568842649896e+00,7.329204434092600806e+00
1.513184550045311161e+00,3.419889565182081537e+00,7.340594454306160976e+00
1.518543774305550320e+00,3.430943128836283496e+00,7.351984474519721147e+00
1.523902998565789257e+00,3.441996692490485454e+00,7.363374494733281317e+00
1.529262222826028195e+00,3.453050256144687413e+00,7.384763829848965067e+00
1.534621447086267132e+00,3.464103819798889372e+00,7.412687130248872158e+00
1.539980671346506069e+00,3.475157383453091331e+00,7.440610430648779250e+00
1.545339895606745229e+00,3.486210947107293290e+00,7.468533731048686342e+00
1.550699119866984166e+00,3.497264510761495249e+00,7.496457031448593433e+00
1.556058344127223325e+00,3.508318074415697652e+00,7.524380331848501413e+00
1.561417568387462262e+00,3.519371638069899610e+00,7.546642005603318104e+00
1.566776792647701422e+00,3.530425201724101569e+00,7.562200555618973752e+00
1.572136016907940359e+00,3.541478765378303528e+00,7.577759105634628511e+00
1.577495241168179296e+00,3.553530020016733015e+00,7.593317655650284159e+00
1.582854465428418234e+00,3.565658101070614983e+00,7.608876205665939807e+00
1.588213689688657393e+00,3.577786182124496506e+00,7.624434755681595455e+00
1.593572913948896330e+00,3.589914263178378029e+00,7.639993305697251103e+00
1.598932138209135267e+00,3.602042344232259552e+00,7.655551855712906750e+00
1.604291362469374427e+00,3.614170425286141963e+00,7.671110405728562398e+00
1.609650586729613586e+00,3.626298506340023486e+00,7.686668955744218046e+00
1.615009810989852523e+00,3.638426587393905010e+00,7.702227505759873694e+00
1.620369035250091461e+00,3.650554668447786533e+00,7.717786055775529341e+00
1.625728259510330398e+00,3.662682749501668500e+00,7.733344605791184989e+00
1.631087483770569335e+00,3.674665154188380800e+00,7.748903155806840637e+00
1.636446708030808495e+00,3.686360235035916588e+00,7.764461705822496285e+00
1.641805932291047432e+00,3.698055315883452376e+00,7.780723675016041341e+00
1.647165156551286591e+00,3.709750396730988609e+00,7.797198869550682865e+00
1.652524380811525528e+00,3.721445477578524397e+00,7.813674064085323501e+00
1.657883605071764688e+00,3.733140558426060185e+00,7.830149258619965025e+00
1.663242829332003625e+00,3.744835639273595973e+00,7.846624453154606549e+00
1.668602053592242562e+00,3.756530720121131761e+00,7.863099647689247185e+00
1.673961277852481500e+00,3.768225800968667549e+00,7.879574842223888709e+00
1.679320502112720659e+00,3.782351443649063949e+00,7.896050036758529345e+00
1.684679726372959596e+00,3.797106454991483915e+00,7.912525231293170869e+00
1.690038950633198533e+00,3.811861466333903437e+00,7.929000425827811505e+00
1.695398174893437693e+00,3.826616477676323846e+00,7.945475620362453029e+00
1.700757399153676852e+00,3.841371489018743812e+00,7.960005323484722339e+00
1.706116623413915789e+00,3.856126500361163334e+00,7.972539353868507206e+00
1.711475847674154727e+00,3.870881511703583300e+00,7.985073384252291184e+00
1.716835071934393664e+00,3.885636523046002822e+00,7.997607414636075163e+00
1.722194296194632601e+00,3.900391534388422787e+00,8.010141445019860029e+00
1.727553520454871760e+00,3.915146545730842309e+00,8.022675475403644896e+00
1.732912744715110698e+00,3.929901557073262275e+00,8.035209505787427986e+00
1.738271968975349635e+00,3.943185976071446941e+00,8.047743536171212853e+00
1.743631193235588794e+00,3.949691125966259708e+00,8.060277566554997719e+00
1.748990417495827954e+00,3.956196275861072476e+00,8.072811596938782586e+00
1.754349641756066891e+00,3.962701425755885687e+00,8.085473252611022232e+00
1.759708866016305828e+00,3.969206575650698454e+00,8.098531650880170574e+00
1.765068090276544766e+00,3.975711725545511221e+00,8.111590049149318915e+00
1.770427314536783925e+00,3.982216875440323989e+00,8.124648447418467256e+00
1.775786538797022862e+00,3.988722025335136756e+00,8.137706845687615598e+00
1.781145763057261799e+00,3.995227175229949523e+00,8.150765243956763939e+00
1.786504987317500737e+00,4.001732325124762291e+00,8.166971228785433468e+00
1.791864211577740118e+00,4.008237475019575058e+00,8.184082194365137397e+00
1.797223435837979055e+00,4.016919733417405602e+00,8.201193159944841327e+00
1.802582660098217993e+00,4.032406005662041437e+00,8.218304125524545256e+00
1.807941884358456930e+00,4.047892277906676384e+00,8.235415091104247409e+00
1.813301108618695867e+00,4.063378550151311330e+00,8.252526056683951339e+00
1.818660332878935026e+00,4.078864822395947165e+00,8.269637022263655268e+00
1.824019557139173964e+00,4.094351094640582112e+00,8.286747987843359198e+00
