wl,n,k
6.939100000000000268e-01,1.425043999999999977e+00,1.689786999999999928e+00
6.955000000000000071e-01,1.422225000000000072e+00,1.700865000000000071e+00
6.970800000000000329e-01,1.419502999999999959e+00,1.711943999999999910e+00
6.986599999999999477e-01,1.416875000000000107e+00,1.723025000000000029e+00
7.002399999999999736e-01,1.414341000000000070e+00,1.734105000000000008e+00
7.018199999999999994e-01,1.411901000000000073e+00,1.745184000000000069e+00
7.034000000000000252e-01,1.409551999999999916e+00,1.756259999999999932e+00
7.049800000000000511e-01,1.407294000000000045e+00,1.767330999999999985e+00
7.065599999999999659e-01,1.405124999999999957e+00,1.778397000000000006e+00
7.081399999999999917e-01,1.403045000000000098e+00,1.789457000000000075e+00
7.097200000000000175e-01,1.401051999999999964e+00,1.800508999999999915e+00
7.113099999999999978e-01,1.399146000000000001e+00,1.811552999999999969e+00
7.128900000000000237e-01,1.397324000000000011e+00,1.822586000000000039e+00
7.144700000000000495e-01,1.395586999999999911e+00,1.833609999999999962e+00
7.160499999999999643e-01,1.393931999999999949e+00,1.844621000000000066e+00
7.176299999999999901e-01,1.392360000000000042e+00,1.855620000000000047e+00
7.192100000000000160e-01,1.390867999999999993e+00,1.866605999999999987e+00
7.207900000000000418e-01,1.389456000000000024e+00,1.877577000000000051e+00
7.223699999999999566e-01,1.388122000000000078e+00,1.888533999999999935e+00
7.239499999999999824e-01,1.386865000000000014e+00,1.899475000000000025e+00
7.255300000000000082e-01,1.385685000000000056e+00,1.910398999999999958e+00
7.271100000000000341e-01,1.384579999999999922e+00,1.921305999999999958e+00
7.286899999999999489e-01,1.383548999999999918e+00,1.932196000000000025e+00
7.302699999999999747e-01,1.382590999999999903e+00,1.943067000000000100e+00
7.318500000000000005e-01,1.381704999999999961e+00,1.953918999999999961e+00
7.334300000000000264e-01,1.380889999999999951e+00,1.964750999999999914e+00
7.350100000000000522e-01,1.380144999999999955e+00,1.975562999999999958e+00
7.365800000000000125e-01,1.379469000000000056e+00,1.986355000000000093e+00
7.381600000000000383e-01,1.378859999999999975e+00,1.997125000000000039e+00
7.397399999999999531e-01,1.378317999999999932e+00,2.007874000000000159e+00
7.413199999999999790e-01,1.377842000000000011e+00,2.018600999999999868e+00
7.429000000000000048e-01,1.377431000000000072e+00,2.029304999999999914e+00
7.444800000000000306e-01,1.377083999999999975e+00,2.039985999999999855e+00
7.460599999999999454e-01,1.376799000000000106e+00,2.050644000000000133e+00
7.476399999999999713e-01,1.376576000000000022e+00,2.061278999999999861e+00
7.492199999999999971e-01,1.376414999999999944e+00,2.071889999999999787e+00
7.507899999999999574e-01,1.376312999999999898e+00,2.082476000000000216e+00
7.523699999999999832e-01,1.376270000000000104e+00,2.093037999999999954e+00
7.539500000000000091e-01,1.376285999999999898e+00,2.103575000000000195e+00
7.555300000000000349e-01,1.376359000000000110e+00,2.114088000000000189e+00
7.571099999999999497e-01,1.376487999999999934e+00,2.124573999999999963e+00
7.586899999999999755e-01,1.376673000000000036e+00,2.135035999999999934e+00
7.602600000000000469e-01,1.376911999999999914e+00,2.145471999999999824e+00
7.618399999999999617e-01,1.377205999999999930e+00,2.155882000000000076e+00
7.634199999999999875e-01,1.377552000000000110e+00,2.166265000000000107e+00
7.650000000000000133e-01,1.377950000000000008e+00,2.176623000000000197e+00
7.665800000000000392e-01,1.378400000000000070e+00,2.186954000000000065e+00
7.681499999999999995e-01,1.378900999999999932e+00,2.197258999999999851e+00
7.697300000000000253e-01,1.379450999999999983e+00,2.207536999999999860e+00
7.713100000000000511e-01,1.380050999999999917e+00,2.217788000000000093e+00
7.728899999999999659e-01,1.380698999999999899e+00,2.228012999999999799e+00
7.744600000000000373e-01,1.381394000000000011e+00,2.238211000000000173e+00
7.760399999999999521e-01,1.382136000000000031e+00,2.248381000000000185e+00
7.776199999999999779e-01,1.382924000000000042e+00,2.258525000000000116e+00
7.791900000000000492e-01,1.383758000000000044e+00,2.268641000000000130e+00
7.807699999999999640e-01,1.384635999999999978e+00,2.278731000000000062e+00
7.823499999999999899e-01,1.385558000000000067e+00,2.288791999999999938e+00
7.839199999999999502e-01,1.386524000000000090e+00,2.298827000000000176e+00
7.854999999999999760e-01,1.387531999999999988e+00,2.308835000000000193e+00
7.870800000000000018e-01,1.388582999999999901e+00,2.318814999999999849e+00
7.886499999999999622e-01,1.389674999999999994e+00,2.328768000000000171e+00
7.902299999999999880e-01,1.390806999999999904e+00,2.338693000000000133e+00
7.917999999999999483e-01,1.391979999999999995e+00,2.348590999999999873e+00
7.933799999999999741e-01,1.393192999999999904e+00,2.358461999999999836e+00
7.949600000000000000e-01,1.394444000000000017e+00,2.368306000000000022e+00
7.965299999999999603e-01,1.395734000000000030e+00,2.378121999999999847e+00
7.981099999999999861e-01,1.397061000000000108e+00,2.387910999999999895e+00
7.996799999999999464e-01,1.398425999999999947e+00,2.397673000000000165e+00
8.012599999999999723e-01,1.399826999999999932e+00,2.407407000000000075e+00
8.028300000000000436e-01,1.401264999999999983e+00,2.417114000000000207e+00
8.044099999999999584e-01,1.402738000000000040e+00,2.426794999999999813e+00
8.059800000000000297e-01,1.404246000000000105e+00,2.436447999999999947e+00
8.075599999999999445e-01,1.405788999999999955e+00,2.446073999999999860e+00
8.091300000000000159e-01,1.407365999999999895e+00,2.455672999999999995e+00
8.107100000000000417e-01,1.408976000000000006e+00,2.465244999999999909e+00
8.122800000000000020e-01,1.410619000000000067e+00,2.474791000000000185e+00
8.138600000000000279e-01,1.412295000000000078e+00,2.484309999999999796e+00
8.154299999999999882e-01,1.414002999999999899e+00,2.493800999999999934e+00
8.170100000000000140e-01,1.415742999999999974e+00,2.503267000000000131e+00
8.185799999999999743e-01,1.417513999999999941e+00,2.512704999999999966e+00
8.201600000000000001e-01,1.419315000000000104e+00,2.522117000000000164e+00
8.217299999999999605e-01,1.421146999999999938e+00,2.531502999999999837e+00
8.233000000000000318e-01,1.423008999999999968e+00,2.540862000000000176e+00
