wl,n,k
9.592930142702941199e-01,1.288836201960624317e+00,5.488523780417551734e+00
9.612294815340131082e-01,1.291831054820817615e+00,5.500302786136712641e+00
9.631659487977322076e-01,1.294825907681011357e+00,5.512081791855873547e+00
9.651024160614513070e-01,1.298064642262784396e+00,5.523860797575035342e+00
9.670388833251704064e-01,1.301572795168880248e+00,5.535639803294196248e+00
9.689753505888895058e-01,1.305080948074976099e+00,5.547418809013358043e+00
9.709118178526084941e-01,1.308589100981071729e+00,5.559197814732518950e+00
9.728482851163275935e-01,1.312097253887167803e+00,5.570976820451680744e+00
9.747847523800466929e-01,1.315605406793263654e+00,5.582755826170841651e+00
9.767212196437657923e-01,1.319117501668171100e+00,5.594534831890002557e+00
9.786576869074848917e-01,1.324369908843151311e+00,5.606313837609164352e+00
9.805941541712039911e-01,1.329622316018131301e+00,5.616438893084444217e+00
9.825306214349229794e-01,1.334874723193111068e+00,5.626480315881711824e+00
9.844670886986420788e-01,1.340127130368091057e+00,5.636521738678980320e+00
9.864035559623612892e-01,1.345379537543071269e+00,5.646563161476247927e+00
9.883400232260802776e-01,1.350631944718051036e+00,5.656604584273515535e+00
9.902764904897993770e-01,1.355884351893031026e+00,5.666646007070784030e+00
9.922129577535184763e-01,1.355639468646746781e+00,5.676687429868051638e+00
9.941494250172374647e-01,1.352350198451713448e+00,5.686728852665319245e+00
9.960858922809566751e-01,1.349060928256680114e+00,5.696770275462587740e+00
